status,power,parkingfield,timestamp,geo_point_2d,totalparkings,location,addresse
AVAILABLE   ,22 kW   ,2           ,2019-11-15T10:57:40+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
OCCUPIED    ,22 kW   ,2           ,2019-11-15T10:58:25+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
OCCUPIED    ,22 kW   ,1           ,2019-11-15T10:58:18+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,2           ,2019-11-15T11:02:26+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,50 kW   ,1           ,2019-11-15T11:04:38+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:02:21+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:02:57+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,22 kW   ,2           ,2019-11-15T11:07:04+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
OCCUPIED    ,22 kW   ,1           ,2019-11-15T11:07:52+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T11:11:16+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
OCCUPIED    ,22 kW   ,2           ,2019-11-15T11:18:24+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:17:26+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,50 kW   ,2           ,2019-11-15T11:28:00+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,50/22 kW,1           ,2019-11-15T11:29:26+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,50/22 kW,2           ,2019-11-15T11:30:13+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
OCCUPIED    ,50 kW   ,2           ,2019-11-15T11:38:39+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:39:08+00:00,"{'lat': 47.5592338, 'lon': 7.5865812}",1            ,EG      ,"Parkhaus Storchen, Fischmarkt 10"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:36:11+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T11:37:46+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,50/22 kW,2           ,2019-11-15T11:38:34+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T11:39:26+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:41:14+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,50 kW   ,2           ,2019-11-15T11:42:05+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,50/22 kW,1           ,2019-11-15T11:40:41+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
OCCUPIED    ,22 kW   ,2           ,2019-11-15T11:40:26+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T11:43:17+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T11:46:36+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
OCCUPIED    ,22 kW   ,2           ,2019-11-15T11:47:19+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
OCCUPIED    ,50 kW   ,1           ,2019-11-15T11:50:28+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:05:21+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:07:11+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:05:17+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,50 kW   ,2           ,2019-11-15T12:09:18+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:10:14+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:14:04+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:10:58+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
OCCUPIED    ,22 kW   ,1           ,2019-11-15T12:10:12+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:15:28+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:24:44+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:29:19+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,50/22 kW,2           ,2019-11-15T12:29:20+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,50/22 kW,1           ,2019-11-15T12:25:51+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,50 kW   ,1           ,2019-11-15T12:32:33+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,50/22 kW,2           ,2019-11-15T12:40:30+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
AVAILABLE   ,22 kW   ,2           ,2019-11-15T12:42:17+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:43:09+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:40:33+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,50/22 kW,2           ,2019-11-15T12:44:52+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T12:42:50+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T12:46:37+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T12:56:31+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
AVAILABLE   ,22 kW   ,2           ,2019-11-15T13:07:18+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
OCCUPIED    ,22 kW   ,2           ,2019-11-15T13:05:18+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:05:27+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,22 kW   ,1           ,2019-11-15T13:09:46+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,22 kW   ,2           ,2019-11-15T13:12:44+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,50 kW   ,2           ,2019-11-15T13:13:26+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,22 kW   ,1           ,2019-11-15T13:12:43+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:17:38+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,22 kW   ,2           ,2019-11-15T13:18:03+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,2           ,2019-11-15T13:19:39+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:19:01+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,22 kW   ,2           ,2019-11-15T13:24:45+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:25:48+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,50/22 kW,1           ,2019-11-15T13:28:52+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
OCCUPIED    ,50/22 kW,2           ,2019-11-15T13:36:38+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,50 kW   ,1           ,2019-11-15T13:38:03+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:44:56+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T13:44:09+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T13:45:13+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,50/22 kW,2           ,2019-11-15T13:50:45+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
AVAILABLE   ,50/22 kW,2           ,2019-11-15T13:51:06+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T13:59:53+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,22 kW   ,1           ,2019-11-15T13:55:39+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
OCCUPIED    ,22 kW   ,2           ,2019-11-15T13:58:57+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
OCCUPIED    ,22 kW   ,1           ,2019-11-15T14:01:01+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T14:03:47+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T14:07:25+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
OCCUPIED    ,22 kW   ,2           ,2019-11-15T14:09:57+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,50/22 kW,1           ,2019-11-15T14:06:19+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
OCCUPIED    ,22 kW   ,1           ,2019-11-15T14:06:20+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
AVAILABLE   ,50 kW   ,2           ,2019-11-15T14:17:30+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,22 kW   ,1           ,2019-11-15T14:17:39+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,22 kW   ,2           ,2019-11-15T14:20:21+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
OCCUPIED    ,22 kW   ,1           ,2019-11-15T14:23:13+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T14:29:57+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,22 kW   ,2           ,2019-11-15T14:27:19+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,2           ,2019-11-15T14:28:59+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,1           ,2019-11-15T14:27:03+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,50 kW   ,1           ,2019-11-15T14:33:06+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,50/22 kW,1           ,2019-11-15T14:32:00+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
OCCUPIED    ,50/22 kW,2           ,2019-11-15T14:43:50+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,2           ,2019-11-15T14:41:40+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-15T14:49:19+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T14:47:37+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T14:47:25+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
AVAILABLE   ,50/22 kW,2           ,2019-11-15T14:57:22+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
OCCUPIED    ,22 kW   ,1           ,2019-11-15T14:56:56+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,50/22 kW,2           ,2019-11-15T15:01:06+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
OCCUPIED    ,22 kW   ,2           ,2019-11-15T15:01:06+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T15:04:43+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:07:32+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
OCCUPIED    ,22 kW   ,1           ,2019-11-15T15:07:14+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
OCCUPIED    ,22 kW   ,2           ,2019-11-15T15:14:37+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,50/22 kW,1           ,2019-11-15T15:16:02+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
OCCUPIED    ,22 kW   ,1           ,2019-11-15T15:16:00+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:20:29+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:25:00+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,50 kW   ,2           ,2019-11-15T15:21:36+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:25:06+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,22 kW   ,1           ,2019-11-15T15:25:27+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:34:54+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:34:59+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:33:20+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,50/22 kW,1           ,2019-11-15T15:34:58+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:35:01+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,50 kW   ,1           ,2019-11-15T15:38:42+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,50/22 kW,2           ,2019-11-15T15:37:19+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
AVAILABLE   ,50/22 kW,1           ,2019-11-15T15:35:03+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:35:07+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:42:15+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:44:18+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:42:48+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:49:34+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,2           ,2019-11-15T15:50:38+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
OCCUPIED    ,50/22 kW,2           ,2019-11-15T15:51:01+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:53:42+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T15:50:46+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T15:56:30+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,22 kW   ,1           ,2019-11-15T15:57:26+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
OCCUPIED    ,22 kW   ,2           ,2019-11-15T16:03:29+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,2           ,2019-11-15T16:03:35+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
OCCUPIED    ,50 kW   ,2           ,2019-11-15T16:09:18+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,50/22 kW,2           ,2019-11-15T16:11:26+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
OCCUPIED    ,50 kW   ,2           ,2019-11-15T16:13:26+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,22 kW   ,2           ,2019-11-15T16:10:29+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
OCCUPIED    ,50 kW   ,2           ,2019-11-15T16:19:19+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,22 kW   ,1           ,2019-11-15T16:18:56+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,50 kW   ,2           ,2019-11-15T16:24:42+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,2           ,2019-11-15T16:28:08+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
OCCUPIED    ,50 kW   ,1           ,2019-11-15T16:25:25+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
OCCUPIED    ,22 kW   ,1           ,2019-11-15T16:33:17+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,50 kW   ,1           ,2019-11-15T16:30:47+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,2           ,2019-11-15T16:34:28+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T16:36:55+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
AVAILABLE   ,50/22 kW,1           ,2019-11-15T16:38:11+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
OCCUPIED    ,50/22 kW,2           ,2019-11-15T16:44:21+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T16:43:19+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
AVAILABLE   ,22 kW   ,2           ,2019-11-15T16:50:51+00:00,"{'lat': 47.5703948, 'lon': 7.6147607}",2            ,        ,Egliseestrasse 85
AVAILABLE   ,22 kW   ,1           ,2019-11-15T16:54:37+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,22 kW   ,1           ,2019-11-15T16:54:09+00:00,"{'lat': 47.5841185, 'lon': 7.6511326}",1            ,        ,"Gemeindeverwaltung Riehen, Wettsteinstrasse 1"
OCCUPIED    ,50/22 kW,2           ,2019-11-15T16:58:17+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,2           ,2019-11-15T16:57:37+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-15T16:58:03+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
OCCUPIED    ,22 kW   ,2           ,2019-11-15T17:01:15+00:00,"{'lat': 47.5351635, 'lon': 7.5875696}",2            ,        ,Bruderholzallee 14
OCCUPIED    ,22 kW   ,2           ,2019-11-15T17:07:50+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
OCCUPIED    ,22 kW   ,1           ,2019-11-15T17:07:05+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
OCCUPIED    ,22 kW   ,1           ,2019-11-15T17:09:11+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
AVAILABLE   ,22 kW   ,1           ,2019-11-15T17:17:58+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
